logloss,lambda,alpha
0.69180,0.5,3.5
0.69180,0.6,3.5
0.69180,0.7,3.5
0.69180,0.8,3.5
0.69180,0.9,3.5
0.69180,1.0,3.5
0.69180,1.1,3.5
0.69180,0.5,4.0
0.69180,0.6,4.0
0.69180,0.7,4.0
0.69180,0.8,4.0
0.69180,0.9,4.0
0.69180,1.0,4.0
0.69180,1.1,4.0
0.69180,0.5,4.5
0.69180,0.6,4.5
0.69180,0.7,4.5
0.69180,0.8,4.5
0.69179,0.9,4.5
0.69179,1.0,4.5
0.69179,1.1,4.5
0.69179,0.5,5.0
0.69179,0.6,5.0
0.69179,0.7,5.0
0.69179,0.8,5.0
0.69179,0.9,5.0
0.69179,1.0,5.0
0.69179,1.1,5.0
0.69177,0.5,5.5
0.69177,0.6,5.5
0.69177,0.7,5.5
0.69177,0.8,5.5
0.69177,0.9,5.5
0.69178,1.0,5.5
0.69177,1.1,5.5
0.69176,0.5,6.0
0.69176,0.6,6.0
0.69177,0.7,6.0
0.69177,0.8,6.0
0.69177,0.9,6.0
0.69177,1.0,6.0
0.69177,1.1,6.0
0.69177,0.5,6.5
0.69177,0.6,6.5
0.69177,0.7,6.5
0.69177,0.8,6.5
0.69177,0.9,6.5
0.69177,1.0,6.5
0.69177,1.1,6.5
