mean,std,min_child_weight,max_depth
-0.70308,0.00336,1,1
-0.70345,0.00330,2,1
-0.70322,0.00338,3,1
-0.70296,0.00326,4,1
-0.70289,0.00356,5,1
-0.70291,0.00364,6,1
-0.70270,0.00403,7,1
-0.70256,0.00443,8,1
-0.71989,0.00241,1,2
-0.72000,0.00135,2,2
-0.71910,0.00184,3,2
-0.71863,0.00239,4,2
-0.71857,0.00204,5,2
-0.71792,0.00294,6,2
-0.71714,0.00370,7,2
-0.71714,0.00417,8,2
-0.73521,0.00410,1,3
-0.73506,0.00445,2,3
-0.73346,0.00337,3,3
-0.73391,0.00355,4,3
-0.73308,0.00337,5,3
-0.73005,0.00348,6,3
-0.72960,0.00518,7,3
-0.73025,0.00385,8,3
-0.75257,0.00916,1,4
-0.75121,0.00838,2,4
-0.74892,0.00842,3,4
-0.74840,0.00721,4,4
-0.74555,0.00598,5,4
-0.74438,0.00424,6,4
-0.74230,0.00437,7,4
-0.74209,0.00363,8,4
-0.77004,0.01283,1,5
-0.76698,0.01316,2,5
-0.76267,0.01048,3,5
-0.76005,0.00904,4,5
-0.75591,0.00627,5,5
-0.75480,0.00695,6,5
-0.75325,0.00524,7,5
-0.75191,0.00493,8,5
-0.78752,0.01608,1,6
-0.78159,0.01405,2,6
-0.77618,0.01173,3,6
-0.77171,0.00819,4,6
-0.76561,0.00818,5,6
-0.76184,0.00765,6,6
-0.76088,0.00606,7,6
-0.75703,0.00531,8,6
-0.79868,0.01908,1,7
-0.78900,0.01505,2,7
-0.78378,0.01258,3,7
-0.77848,0.01003,4,7
-0.77102,0.01039,5,7
-0.76772,0.00813,6,7
-0.76636,0.00719,7,7
-0.76031,0.00580,8,7
-0.81009,0.02033,1,8
-0.79844,0.01556,2,8
-0.78874,0.01256,3,8
-0.78254,0.00960,4,8
-0.77476,0.00906,5,8
-0.77158,0.00800,6,8
-0.76623,0.00451,7,8
-0.76147,0.00537,8,8
