verbose,learning_rate,min_weight_fraction_leaf,init,min_samples_leaf,max_leaf_nodes,min_samples_split,random_state,alpha,warm_start,subsample,max_features,max_depth,presort,n_estimators,loss,training_time,log_loss
0,0.001,0.0,None,1,None,2,665,0.9,False,1.0,9,3,auto,4,ls,0:00:01.030,0.69308
0,0.001,0.0,None,1,None,2,363,0.9,False,1.0,7,3,auto,4,ls,0:00:00.931,0.69308
0,0.001,0.0,None,1,None,2,944,0.9,False,1.0,1,3,auto,4,ls,0:00:00.532,0.69309
0,0.001,0.0,None,1,None,2,189,0.9,False,1.0,2,3,auto,4,ls,0:00:00.586,0.69309
0,0.001,0.0,None,1,None,2,69,0.9,False,1.0,3,3,auto,4,ls,0:00:00.636,0.69309
0,0.001,0.0,None,1,None,2,764,0.9,False,1.0,4,3,auto,4,ls,0:00:00.727,0.69308
0,0.001,0.0,None,1,None,2,662,0.9,False,1.0,5,3,auto,4,ls,0:00:00.791,0.69308
0,0.001,0.0,None,1,None,2,857,0.9,False,1.0,6,3,auto,4,ls,0:00:00.892,0.69308
0,0.001,0.0,None,1,None,2,289,0.9,False,1.0,7,3,auto,4,ls,0:00:00.913,0.69308
0,0.001,0.0,None,1,None,2,256,0.9,False,1.0,9,3,auto,4,ls,0:00:01.153,0.69308
0,0.001,0.0,None,1,None,2,129,0.9,False,1.0,10,3,auto,4,ls,0:00:01.197,0.69308
0,0.001,0.0,None,1,None,2,904,0.9,False,1.0,12,3,auto,4,ls,0:00:01.239,0.69308
0,0.001,0.0,None,1,None,2,308,0.9,False,1.0,14,3,auto,4,ls,0:00:01.339,0.69308
0,0.001,0.0,None,1,None,2,883,0.9,False,1.0,16,3,auto,4,ls,0:00:01.489,0.69308
0,0.001,0.0,None,1,None,2,273,0.9,False,1.0,18,3,auto,4,ls,0:00:01.709,0.69308
0,0.001,0.0,None,1,None,2,24,0.9,False,1.0,21,3,auto,4,ls,0:00:01.746,0.69308
0,0.001,0.0,None,1,None,2,216,0.9,False,1.0,7,3,auto,8,ls,0:00:01.495,0.69307

0,0.001,0.0,None,1,None,2,930,0.9,False,1.0,7,3,auto,4096,ls,0:11:55.054,0.68944
0,0.001,0.0,None,1,None,2,52,0.9,False,1.0,7,4,auto,4096,ls,0:14:14.272,0.68705
0,0.01,0.0,None,1,None,2,397,0.9,False,1.0,21,2,auto,4,ls,0:00:01.075,0.69301
0,0.1,0.0,None,1,None,2,752,0.9,False,1.0,21,2,auto,8,ls,0:00:01.852,0.69206
0,0.1,0.0,None,1,None,2,909,0.9,False,1.0,21,2,auto,8,ls,0:00:01.776,0.69206
0,0.1,0.0,None,1,None,2,646,0.9,False,1.0,21,2,auto,8,ls,0:00:01.965,0.69206
0,0.1,0.0,None,1,None,2,73,0.9,False,1.0,21,2,auto,8,ls,0:00:02.130,0.69206
ls,949,None,0.9,False,0,auto,21,0.0,1,2,None,2,8,1.0,0.1,0:00:02.038,0.69206
8,1,False,0.1,498,21,0.9,None,ls,2,2,auto,None,1.0,0,0.0,0:00:01.995,0.69206
8,1,False,0.1,242,21,0.9,None,ls,2,2,auto,None,1.0,0,0.0,0:00:02.496,0.69206
