7,1,0.01,ls,456,None,False,8,1.0,0.9,0.0,auto,None,0,2,3,0:00:08.499,0.69290
None,1,auto,0.01,2,1.0,556,ls,7,0.0,0,0.9,None,45,3,False,0:00:27.888,0.69219
3,0.01,121,1.0,0,330,2,None,7,0.9,auto,1,None,ls,0.0,False,0:02:59.186,0.68985
ls,2,1,0.0,None,3,auto,False,None,0,0.9,531,0.01,1.0,7,693,0:02:58.018,0.68815
3,0,693,7,1,0.0,1.0,ls,None,0.9,2,469,None,0.01,False,auto,0:03:12.137,0.68815
0.9,None,ls,None,3,2,False,1.0,1,0.0,9,693,0.01,218,auto,0,0:03:41.509,0.68807
2,1,False,9,ls,0.001,None,1.0,0.0,None,auto,3,693,0.9,394,0,0:04:04.035,0.69182
1.0,None,0,0.001,False,None,9,2,auto,0.9,1,ls,60,3,0.0,94,0:00:22.457,0.69294
1,ls,None,0.001,9,0.0,3,None,285,1.0,0,False,0.9,auto,6,2,0:00:03.781,0.69308
0.9,9,1,auto,3,0.001,6,None,1.0,986,2,0.0,None,0,ls,False,0:00:03.653,0.69308
3,0,1,0.0,None,None,1.0,ls,9,6,0.9,2,387,0.001,False,auto,0:00:03.614,0.69308
0.001,0.0,False,0.9,None,1.0,auto,6,ls,0,391,9,2,1,None,3,0:00:03.671,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,602,6,0.0,None,0:00:03.612,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,315,6,0.0,None,0:00:01.034,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,773,6,0.0,None,0:00:00.944,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,839,6,0.0,None,0:00:00.901,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,653,6,0.0,None,0:00:03.689,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,910,6,0.0,None,0:00:03.970,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,842,6,0.0,None,0:00:03.711,0.69308
False,0,2,ls,None,0.9,1,1.0,3,0.001,auto,9,509,6,0.0,None,0:00:03.916,0.69308
None,False,0.9,None,ls,128,auto,9,1,3,2,1.0,578,0.01,0,0.0,0:00:11.661,0.69119
None,False,0.9,None,ls,600,auto,9,1,3,2,1.0,462,0.01,0,0.0,0:00:49.455,0.68849
None,False,0.9,None,ls,6000,auto,9,1,3,2,1.0,898,0.01,0,0.0,0:07:45.511,0.67036
None,auto,0.9,0.0,None,1.0,1,ls,2,9,False,3,3000,0,239,0.01,0:03:51.032,0.67952
9,1,0.9,143,300,0,ls,0.01,auto,0.0,None,None,3,2,1.0,False,0:00:29.686,0.68997
2,None,150,5,None,1.0,0.0,0,False,1,auto,0.9,3,0.01,ls,9,0:00:13.337,0.69100
None,False,0.9,None,ls,450,auto,9,1,3,2,1.0,395,0.01,0,0.0,0:00:37.440,0.68918
None,False,0.9,None,ls,600,auto,9,1,3,2,1.0,193,0.01,0,0.0,0:00:48.946,0.68848
None,False,0.9,None,ls,500,auto,9,1,3,2,1.0,733,0.01,0,0.0,0:00:41.009,0.68894
None,False,0.9,None,ls,500,auto,11,1,3,2,1.0,592,0.01,0,0.0,0:00:47.609,0.68889
None,False,0.9,None,ls,500,auto,7,1,3,2,1.0,229,0.01,0,0.0,0:00:33.040,0.68902
None,False,0.9,None,ls,500,auto,7,1,3,2,1.0,809,0.01,0,0.0,0:00:33.191,0.68903
None,False,0.9,None,ls,500,auto,21,1,3,2,1.0,620,0.01,0,0.0,0:01:25.880,0.68878
None,False,0.9,None,ls,500,auto,3,1,3,2,1.0,610,0.01,0,0.0,0:00:20.720,0.68931
None,False,0.9,None,ls,500,auto,3,1,1,2,1.0,910,0.01,0,0.0,0:00:07.247,0.69158
None,False,0.9,None,ls,500,auto,1,1,3,2,1.0,926,0.01,0,0.0,0:00:10.772,0.68992
None,False,0.9,None,ls,500,auto,5,1,3,2,1.0,267,0.01,0,0.0,0:00:26.121,0.68911
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,400,0.01,0,0.0,0:00:22.721,0.68920
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,604,0.01,0,0.0,0:01:30.340,0.68919
None,False,0.9,None,ls,500,auto,3,1,3,2,1.0,36,0.01,0,0.0,0:01:14.797,0.68931
None,False,0.9,None,ls,500,auto,3,1,2,2,1.0,563,0.01,0,0.0,0:00:49.817,0.69071
None,False,0.9,None,ls,500,auto,3,1,4,2,1.0,79,0.01,0,0.0,0:01:46.394,0.68687
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,156,0.001,0,0.0,0:01:34.709,0.69219
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,553,0.1,0,0.0,0:01:23.054,0.67527
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,674,0.05,0,0.0,0:01:30.457,0.68230
